General_ID,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Data_Recensione,Commenti,Vantaggi,Svantaggi
0 Go_To_Meeting,Go_To_Meeting,Jorge B.,General Director,Servizi e tecnologie dell'informazione,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Good solution for online meetings and presentation,26/3/2020,"I have offices, customers, account managers, partners and even developers in severalc countries. With this solution I can keep meetings or presentations everywhere in the World where I have Internet connection.
The sound can be by Internet or phone call, I can share my screen ot my webcam, and aldo I can save the meeting, to keep track of it.",I've tried other solutions and for me the best from this solution is how easy is to access to the conference for my customer. Just one click and they are inside the conference.,"I would like to send invitations to my customers from the same interface instead than copy&paste the content of the access. It has plugins with main mail solutions like outlook and GMail, but sometimes because I am in a customer with firewall email rules that don't let me access to my server from outllok but only by webmail, I have to create the conference form one site copy&paste and send the invitations from my webmail."
1 Go_To_Meeting,Go_To_Meeting,Althea T.,MARBLE seller,Materiali da costruzione,6-12 mesi,5 /5,5 /5,4 /5,5 /5,5 /5,8/10,The best conference server I ever tried,8/11/2020,"Experience is some kind of perfect. Best audio, great image quality, great sound and possibility to share the screen, or share video, clip or files. You can stop your participation whenever you want, or go in pause if youâ€™re in need. Also you can write some public messages as for example questions about conversation . Just one counsel: when the owner talks, all the other participants is better if close them audio, or many sounds can disturb, and plus, they get ownerâ€™s voice low.","As the review title, I can confirm this is for me, the best conference support I ever tried. First motivation of all as that differently to the most of other, you can connect yourself either by pc or by phone. Sometimes it happened to me I had a conference to connect with, and I had to go office or home and get the access only and exclusively by pc, it was not a comfy way. So, then, the second motivation is, if for example you can t open your email and follow the link to access, no drama: you can also get in touch only digiting the access code. This is very useful because if for example you re not using your pc and you don t remember the password for open your mail account and follow the link, you can access in few se one in this way (it really happened to me, as I was on holiday and had to use a public pc, didn t recognize my mail password on that one pc, and it should be a stress sit if I couldnâ€™t t access in other way).","To be honest, I m sure that is the best software of category I can counsel. Maybe the only thing I would like to change is just for privacy, during conference open to many people (they can be at least 100 persons), I would be glade if my name was not viewed. But anyway, this is not a trouble of the software, but of the people who manage the conference, who some kind of ever ask to change the mail with the name, to be able of name you. Should be nice if GTM get you a nickname."
2 Go_To_Meeting,Go_To_Meeting,Rad D.,Ceo,Fotografia,Più di 1 anno,2 /5,2 /5,3 /5,1 /5,2 /5,0/10,"Poor Product, Worse Dupport",14/10/2020,"My relationship with LogMeIn and GoToMeeting was bad from the start. As I was looking for a product to deliver webinars and charge for events, I was promised the moon by sales reps that I later learned didnâ€™t understand the tool and gave me erroneous information.","Not much. I was able to offer webinars, but many of the features promised by sale reps didnâ€™t pan out or work as promised.","Poor integration with PayPal when selling events. Bugs in applications, things that worked only if you did an end run around a problem that went unfixed for the entire time I had the product."
3 Go_To_Meeting,Go_To_Meeting,Sarah H.,Media Director,Marketing e pubblicità ,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,5 /5,10/10,Virtual Meetings (The New Normal),4/8/2020,"Our agency has using GoToMeeting for years and it has been extremely user-friendly to deploy across both MAC and PC systems. The web audio has always been crystal clear, which is one of the most important aspects for effective virtual meetings. Our team has also been reall pleased with the ability to screen record. We will continue to use GoToMeeting over Zoom because it's always been reliable, safe, and extremely efficient, even before COVID-19. We have never have any issues with data privacy and GoToMeeting gives us that peace of mind that our conversations are secure and protected.","GoToMeeting is one of the quickest and most reliable virtual meeting tools available. We've been using GoToMeeting for years and it's always been very secure and safe to use at our agency. Unlike Zoom, we have never been hacked and find the quality and chat features on GoToMeeting very reliable. The admin dashboard provides very robust reporting, especially for time-tracking and monitoring within our agency and for grouping various teams together. You can use this tool to organize a meeting in just a matter of minutes and have peace of mind that your meeting space is protected and data secure.","The note-taking feature is extremely useful because we don't have to keep jumping back and forth to different screens to record meeting notes. However, it would be really nice if the note-taking feature could be part of the professional plan, especially during COVID-19. It seems like a feature that could be added on at no additional cost and that would be so useful to our teams."
4 Go_To_Meeting,Go_To_Meeting,Kevin C.,Associate Operations Analyst,Servizi finanziari,Più di 2 anni,4 /5,5 /5,4 /5,3 /5,5 /5,8/10,GoToMeeting Makes Life Easier,14/9/2020,"Overall, we've had a great experience with GoToMeeting. It is a great meeting software and makes it easy for clients to use. It is secure and there are different methods to enter a meeting.",The best part about GoToMeeting is the hub and how it makes it so easy to view and schedule meetings. We also love the personalized meeting room for impromptu meetings.,The customer support could be a little better. There are times when they seem put off when we ask them questions. We would love to see some in meeting features being a little easier to use.
5 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Director of Operations,Mezzi di comunicazione,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,4 /5,9/10,The right fit with room to expand.,22/9/2020,Our group has used GotoMeeting for all product demos and client training sessions for a long time. We've never been negatively impacted by and outages of their service and have found their pricing reasonable as our staff increases and our needs scale up.,"The ability for guests to join sessions without software downloads was a big deciding factor for us. We also have to keep branding uniform across users, so being able to set templates for the imaging when guests join us was an added bonus.",The staff that use G2M the most have asked over and over about hotkeys. Relying only on mouse input when hosting a session can draw attention and focus away from the subject. It would be great to be able to pause/play and enable the cursor tools on the fly with some keyboard shortcuts.
6 Go_To_Meeting,Go_To_Meeting,Ankit P.,Co-Founder,Gestione formativa,6-12 mesi,4 /5,5 /5,4 /5,5 /5,5 /5,9/10,"Simple, Intuitive and easy to use",7/10/2020,"Overall, I was satisfied with the features offered by the platform at the price they are charging. Hoping to get more from the platform after its acquisition from Cisco to include years of capabilities into this product.","The most important thing that I liked about this was that I was able to start using the product immediately and didn't had to wait for weeks for implementation. Secondly, the platform offers the flexibility to go for billing as yo require. The video quality was very good in low bandwidth as well. The platform offers mobile app to schedule and attend meetings on the go.",The scalability of the platform is not good when it comes to organizing meetings for more than 100/200 people and we were not comfortable with that.
7 Go_To_Meeting,Go_To_Meeting,Demeshia T.,Board Member,Gestione di organizzazioni non profit,6-12 mesi,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Meet With Ease,28/8/2020,"With this software my organization is able to meet virtually and conduct business from the comfort of our homes. This can be done on a pc, tablet or mobile device This is very convenient for staff that are unable to travel to the office. My overall experience is very positive and I would recommend to others.",This meeting platform is wonderful. It allows for meetings to be held with video capabilities. There are chat options that are very useful and hand raising button to create a respectful business meeting environment.,The only issue with the software is that it isn't well known. Many staff members have to be given directions on how to download. This software needs to be advertised more.
8 Go_To_Meeting,Go_To_Meeting,Emerson K.,Freelancer,Intrattenimento,Più di 2 anni,5 /5,5 /5,4 /5,3 /5,2 /5,8/10,Webinar Faciles,20/8/2020,"version online y de escritorio que guia facilmente en su aplicacion, ligero en comparacion a otros permite varias opciones. cuenta con plugin y tambien con version de escritorio","la instalacion de plugin si un esta apuarado puede fastidiar un poco, depende de tener una buena conexcion.",The only issue with the software is that it isn't well known. Many staff members have to be given directions on how to download. This software needs to be advertised more.
9 Go_To_Meeting,Go_To_Meeting,Muhammad daud S.,IT Manager,Servizi finanziari,6-12 mesi,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Best Meeting tool,26/10/2020,Overall experience with GoToMeeting was great as we switched from BT conference call to GoToMeeting. It is comparatively cheap and easy to use,"GoToMeeting is a great tool, all in one place to support Conference calls, meetings and recording. It provides a great range of toll free numbers and local numbers for number of people to Join from around the world.",GoToMeeting sometimes allow attendees to unmute themselves and show their webcam despite blocking/disabling it for attendees.
