index,ID_General,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Commenti,Data_Recensione,Vantaggi,Inconvenienti
1,1 Asana,Asana,Michael D.,Publishing Manager,Government Administration,2+ years,5,5,5,4,5,10,“Great task-management and collaboration tool”,Overall: It's a breeze to use and it enables our busy publishing team of 10 to collaborate and stay on top of our day-to-day. It also gives me the paper trail I need for quarterly and annual reporting. Highly recommended.,10/6/2019,Pros: It's very easy to implement and to onboard new users. The interface is attractive and very intuitive. New features are appearing every few months - the recently added Portfolio/Workload feature is brilliant. Now I get the Gantts I need to monitor my team's workload and our many projects.,Cons: Being able to estimate hours per task would make Workload even more useful. Keyword search (for completed tasks/projects etc.) can be a little flakey.
2,2 Asana,Asana,Rachel S.,Executive Administrator,Religious Institutions,2+ years,5,4,5,4,4,9,“This is your new (improved) pile of sticky notes”,"Overall: Love Asana and how it's improved our organization and functionality, especially with a completely remote team working together across timezones.",15/10/2020,"Pros: LOVE being able to label, sort, prioritize, date, assign, attach files to items, create sub lists, and so much more to organize multiple complex projects with a team. Especially helpful when everyone works remotely! Helps you keep your brain free for problem solving, processing, conversations, and dreaming rather than trying to hold deadlines and details and project flows at the same time. Your team will communicate more efficiently with notifications. LOVE IT","Cons: It can be a little complex to get the hang of, but for basic use it's a pretty simple learning curve. Getting into timelines, sub lists, etc takes a little work, but is totally worth it. The other caveat is that you have to commit actually using it all the time to keep it updated and accurate. Again, totally worth it."
3,3 Asana,Asana,Aliz G.,Program Manager Junior,Computer Hardware,2+ years,3,5,4,,4,7,“Good Startup Project Management Tool”,"Overall: It was a very good tool to use, highly user friendly, quite effective and very visually attractive. This tool is great for startups in my opinion and the price is fair for the features it has.",30/9/2019,"Pros: I like how user friendly it is, the aesthetics (looks), it's very neat and colorful at the same time, it provides a good option for organization and I think it's a good tool for startups, it makes planning, task assignment, tracking and registering much easier.","Cons: I think the software is amazing but it lacks some features seen on more robusts tools such as Zoho Projects, still, this tool can integrate with other small tools that can give you access to Gantt Charts or timelines, etc. The problem is you have to pay for those additional integrations."
4,4 Asana,Asana,FAIBREY D.,Data Analyst,Farming,2+ years,5,5,5,5,5,10,“Simplified teamwork with improved transparency”,Overall: We have seen an improvement in reporting standards since we started using Asana. Team members are transparent and it is very easy to see everything and help those that are having challenges completing projects.,30/7/2020,"Pros: We started using it on free trial and we realized the first week that this is the software we wanted. One of the best factors is that it is updated regularly to add new features without an additional fee on us. With our team we are able to set goals and divide them into smaller goals that are distributed among team members in the software and we are able to track easily progress on each goal based on deadlines. We are able to track workloads and monitor portfolios on a single dashboard with a few clicks which makes it very user friendly. When we rolled it out we did not need special training as it is very easy to use. We automated all routine tasks in the software to save time and reduce errors. In addition, another feature I enjoy is the use of forms that are user friendly to submit work requests. They are very easy to fill.","Cons: Although it gives the option to secure documents and data from editing by enabling the comment-only feature, it does not restrict viewing of the data of which it is a feature they can add to make sure there is selection on who can view data among the team members."
5,5 Asana,Asana,Robert S.,Owner,Marketing and Advertising,2+ years,5,5,5,4,5,10,“Leading project management software for good reason”,"Overall: We went from a major competitor, one with a lot of card-based tracking, that was not as effective with prioritizing tasks. Asana has been much more effective in connecting operators and managers with their day-to-day tabulation of work and awareness of deadlines.",3/11/2020,"Pros: The ability to bring in all members of a team and see the workflow from conception to completion is why Asana is the best for project management software. Integration of tasks, files and prioritized milestones are all top of the line here.","Cons: The financial side of things are better managed with third-party software, as the interface can be less than intuitive at times, but the good news is that the Asana customer support team is excellent if you have questions about integrating bookkeeping software."
6,6 Asana,Asana,Aram Z.,CTO,Food & Beverages,2+ years,5,5,4,5,4,10,“Great for operations”,Overall:,27/7/2020,"Pros: I love the mobile app, it's been really easy to get down quick tasks through the day. The simple list structure allows for rapid planning. Then leveraging the same list to create sections is great.",Cons: I feel limited to how I can filter and sort tasks from the team. The description section feels weak compared to tools like Notion.
7,7 Asana,Asana,Dimitris R.,"Partner, CRM Director",Internet,2+ years,5,5,5,5,4,10,“Great project management system”,Overall: Asana is the defacto service that we use to run out of the entire business. Ideal for dealing with our internal processes and project management for our clients.,22/9/2020,"Pros: Asana does a great job of tracking the overall aspect of all our projects (internal and external). It is very easy to use and maintain as well as to customize the way that it works. So, we are able to create a seamless experience and workflow for all users on out organization. The ability to add multiple additional fields to the main fields of the system provides a great framework to work the exact way we want.",Cons: I would love to have more control over files that are stored on each task. A central system for storing would be ideal.
8,8 Asana,Asana,Shawn M.,Digital Marketing Manager,Marketing and Advertising,2+ years,4,5,5,,4,10,“A great project management solution for small teams.”,"Overall: Asana has a clear interface, full feature set and user friendly interface.",28/7/2020,Pros: The interface is very simple and easy to use. It is similar to an interactive checklist. We can break up each client into different jobs that all have certain tasks and sub-tasks. Tasks can easily be assigned to multiple different team members and have timelines assigned to them. There also is a fun animation of a creature like a phoenix or a yetti that flies across the screen when a task is marked as complete. Helps make production meetings more fun,"Cons: There are the occassional bugs. We originally had issues with sub-tasks becoming misplaced if you marked their parent task as complete. This has since been fixed. Overall, it's a lot better than others our team has used."
9,9 Asana,Asana,Victor F.,Diretor de Produto,Information Technology and Services,2+ years,4,3,3,3,2,5,"“Useful, but gets complex and expensive way too quickly”",Overall: I'm acquiring overall visibility over my projects and managing tasks and schedules quite efficienty.,4/8/2020,Pros: Useful. You can definitely get a handle on your work there. Integrations help deliver more value for the product.,"Cons: Forces you into very expensive seats. In order to assign a simple task to a team member that may not be that important, but may be interested in having some visibility over the task, will cost you a full seat of a heavy user/team leader."
10,10 Asana,Asana,Laura P.,Social Media Manager,Marketing and Advertising,2+ years,3,3,4,,5,6,“Not so simple but very useful”,"Overall: Asana is a nice tool, but it's just not for me. There was too much information on the screen and I would often get lost in the sea of tools they offer. But I recognize it is an amazing software and many teams can benefit from it while working online.",22/9/2020,"Pros: Asana has many different functionalities for project management. It has a beautiful and visual workspace where you can list, track and tackle different tasks in your daily work.","Cons: The main feature I dislike in Asana is its lack of functions for recurrent tasks. My work demands different routines every week and month, so it was a little bit difficult to set those up."
