,ID_General,Piattaforma,Settore,Utilizzo_software,Consigliato,Data_Recensione,Incovenienti,Lang,bin_y
0,10 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,22/09/2020,main feature lack function recurrent task demand different routine every week month little difficult_to_set,en,0
1,100 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,22/02/2019,thats depressing seeing red overdue task inbox clear completely handle always mystical hope someday list short inbox empty actually seen possible team hard navigation multiple expanding pane project hard handle thats overcome training,en,0
2,1001 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,09/10/2020,goal disconnected seems concept thought take considerate amount_of_time keep updated associated correctly,en,0
3,1011 Asana,Asana,"Marketing, Advertising & PR",2+ years,4.0,25/02/2020,intuitive inline editing deliberate save option accidentally overwrite text realizing interface complex account level lower paid level free level frustrating click interface item find higher account level,en,0
4,1014 Asana,Asana,Teacher training & Education,2+ years,7.0,05/01/2020,difficult_to_navigate first quickly adapt,en,0
5,1022 Asana,Asana,Information Technologies,2+ years,7.0,03/09/2019,annoying bug interface_could,en,0
6,1034 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,20/02/2019,layout design improve visual layout,en,0
7,1041 Asana,Asana,"Accountancy, Banking & Finance",2+ years,7.0,08/12/2018,flexibility mean organization prfile could quickly become crowed messy especially clear structure kept start project starting date paid feauture manage team project notification could become,en,0
8,1059 Asana,Asana,Information Technologies,2+ years,7.0,21/07/2017,case needed define complicated workflow development project main reason stopped however case keep product,en,0
9,1063 Asana,Asana,"Marketing, Advertising & PR",2+ years,,17/11/2016,assigning_task drag lack bot thats apps big drawback,en,0
10,1065 Asana,Asana,Retail,2+ years,7.0,19/07/2016,learning_curve private messaging bulky mobile_app,en,0
11,1067 Asana,Asana,Charity & Voluntary Work,2+ years,6.0,09/11/2020,least working team pretty team implementing feel friendly whole_team,en,0
12,1070 Asana,Asana,Media & Internet,2+ years,7.0,28/09/2020,learning_curve_steep youre willing spend time_to_learn overall_experience probably frustrating,en,0
13,1074 Asana,Asana,"Marketing, Advertising & PR",2+ years,6.0,25/06/2020,free plan enough start team enough fully feature long_term project gantt_chart,en,0
14,1095 Asana,Asana,Media & Internet,2+ years,7.0,09/04/2019,8 month probably small part feature although upgrade premium useful_feature premium_version holding feature timeline function hesitant pay 4 buck month feature alone since deal,en,0
15,1096 Asana,Asana,Healthcare,2+ years,7.0,25/02/2019,learning_curve_steep basic function complex,en,0
16,1097 Asana,Asana,"Business, Consulting & Management",2+ years,7.0,17/02/2019,luckily student mostly connected campus wifi however noticed function connected frustrating_time intuitive option academic adviser willing learn simpler option add deadline task_task become overlooked deadline although often necessary always needed communicate team_member app perhaps instant messenger feature sometimes responsibility lost communication given,en,0
17,1112 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,28/11/2018,little_confusing learn especially thirdparty integration easier administrator experience,en,0
18,113 Asana,Asana,Charity & Voluntary Work,2+ years,7.0,06/09/2018,weakness flip side strength power complexity lightweight early day tried felt overwhelmed immediately gave major redesign year_ago mobile_app become accessible however year find becoming overwhelmed think perspective individual task_project first log hundred eventually overwhelming,en,0
19,1146 Asana,Asana,Public Services & Administration,2+ years,7.0,17/11/2016,little unwieldy others incorrectly andor assigning_task connected specific project,en,0
20,117 Asana,Asana,Healthcare,2+ years,7.0,19/06/2020,minor oddity blank task created automatically expensive market,en,0
21,118 Asana,Asana,Property & Constructions,2+ years,5.0,16/04/2020,support_team slow respond typically help pricing ridiculous pay account force purchase pack 5_people team 11 pay 4 seat save 34 day response_time take support ticket reply ill tell say likely churn first chance say price per scale userbase per hire fire group 5 price,en,0
22,1193 Asana,Asana,Healthcare,2+ years,6.0,04/04/2019,find experience intuitive process requires step needed,en,0
23,120 Asana,Asana,Property & Constructions,2+ years,7.0,20/08/2019,take everyone working someone forgets check something complete forgets assign next task someone fall crack alert something getting dropped know bird eye view look project thats every scroll anything getting dropped,en,0
24,1214 Asana,Asana,Creative Arts & Design,2+ years,7.0,17/09/2018,honest think downside fan organization perhaps rest usits,en,0
25,1226 Asana,Asana,Information Technologies,2+ years,6.0,14/06/2018,taken time_understand full capability learned basic fast additional_feature obvious helpful training upon implementation added additional,en,0
26,1229 Asana,Asana,"Business, Consulting & Management",2+ years,7.0,30/03/2018,sometimes overwhelmed feature add seems consider collaboration project_management,en,0
27,1241 Asana,Asana,"Marketing, Advertising & PR",2+ years,7.0,28/11/2016,cumbersome hard adjustment organization structure,en,0
28,1254 Asana,Asana,Science & Pharmaceutical,2+ years,6.0,23/09/2020,managing task individual small_team becomes clunky hard view task glance could benefit free gantt_chart visualization task overview,en,0
